Player,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Year,Team,Affiliation,RoundNumber,RoundPick,OverallPick
Kyshawn George,SF,11.90,2.91,3.32,27.0,32.0,2024,New York Knicks,Miami (FL),1,24,24
Tyon Grant-Foster,SF,-,-,-,-,-,2024,,,,,
PJ Hall,C,11.76,3.01,3.35,32.5,39.5,2024,,,,,
Coleman Hawkins,PF,12.05,3.21,3.30,24.0,29.5,2024,,,,,
Ron Holland II,SF,11.10,2.91,3.10,30.0,38.0,2024,,,,,
DaRon Holmes II,C,11.20,3.03,3.25,27.5,34.0,2024,Phoenix Suns,Dayton,1,22,22
Ariel Hukporti,C,-,-,-,-,-,2024,Dallas Mavericks,MHP Riesen (Germany),2,28,58
Oso Ighodaro,C,11.25,3.12,3.09,35.0,39.5,2024,Portland Trail Blazers,Marquette,2,10,40
Harrison Ingram,SF,11.36,2.94,3.17,29.0,35.0,2024,San Antonio Spurs,North Carolina,2,18,48
Bronny James,SG,10.96,3.02,3.09,32.0,40.5,2024,Los Angeles Lakers,Southern California,2,25,55
AJ Johnson,SG,10.76,2.87,3.15,29.0,38.0,2024,Milwaukee Bucks,Illawarra (Australia),1,23,23
Keshad Johnson,PF,11.38,3.02,3.03,31.5,42.0,2024,,,,,
Dillon Jones,SF,11.08,2.82,3.25,26.5,33.5,2024,Washington Wizards,Weber State,1,26,26
David Jones,SF,11.08,3.30,3.20,28.0,34.5,2024,,,,,
Isaac Jones,C,11.49,3.00,3.38,29.0,35.0,2024,,,,,
Alex Karaban,PF,11.23,-,3.20,22.5,32.0,2024,,,,,
Bobi Klintman,PF,11.49,3.21,3.23,26.5,32.5,2024,Minnesota Timberwolves,Cairns Taipans (Australia),2,7,37
Dalton Knecht,SF,10.56,2.79,3.07,31.0,39.0,2024,Los Angeles Lakers,Tennessee,1,17,17
Tyler Kolek,PG,10.97,3.08,3.27,27.0,34.0,2024,Portland Trail Blazers,Marquette,2,4,34
Pelle Larsson,SG,11.15,2.91,3.06,30.5,38.0,2024,Houston Rockets,Arizona,2,14,44
Jared McCain,SG,10.87,3.07,3.23,25.5,33.0,2024,Philadelphia 76ers,Duke,1,16,16
Kevin McCullar Jr.,SF,-,-,-,-,-,2024,Phoenix Suns,Kansas,2,26,56
Yves Missi,C,11.45,3.12,3.12,31.0,38.5,2024,New Orleans Pelicans,Baylor,1,21,21
Ajay Mitchell,PG,11.12,2.95,3.11,28.0,33.5,2024,New York Knicks,California-Santa Barbara,2,8,38
Jonathan Mogbo,PF,11.14,3.07,3.02,31.5,37.5,2024,Toronto Raptors,San Francisco,2,1,31
Tristen Newton,PG,10.96,2.84,3.24,25.0,32.5,2024,Indiana Pacers,Connecticut,2,19,49
Juan Nunez,PG,11.47,3.10,3.41,22.0,29.0,2024,Indiana Pacers,Ratiopharm Ulm (Germany),2,6,36
Quinten Post,C,11.48,3.03,3.40,24.0,27.0,2024,Golden State Warriors,Boston College,2,22,52
Antonio Reeves,SG,11.44,3.16,3.14,29.0,36.0,2024,Orlando Magic,Kentucky,2,17,47
Zaccharie Risacher,SF,11.51,2.97,3.38,25.0,31.0,2024,Atlanta Hawks,JL Bourg (France),1,1,1
Jaxson Robinson,SG,11.39,3.06,3.17,29.5,34.0,2024,,,,,
Tidjane Salaun,PF,11.45,3.05,3.37,27.5,32.0,2024,,,,,
Hunter Sallis,SG,10.82,3.16,3.11,29.5,36.0,2024,,,,,
Payton Sandfort,SF,11.57,2.84,3.43,22.0,28.0,2024,,,,,
Alexandre Sarr,C,11.43,3.23,3.27,30.5,37.0,2024,,,,,
Baylor Scheierman,SF,10.89,2.94,3.09,27.5,32.0,2024,Boston Celtics,Creighton,1,30,30
Mark Sears,PG,11.96,3.26,3.33,32.0,39.0,2024,,,,,
Terrence Shannon Jr.,SF,-,-,-,-,-,2024,Minnesota Timberwolves,Illinois,1,27,27
Jamal Shead,PG,10.87,2.87,2.94,30.0,37.5,2024,Sacramento Kings,Houston,2,15,45
Reed Sheppard,PG,10.96,3.03,3.08,32.5,42.0,2024,Houston Rockets,Kentucky,1,3,3
KJ Simpson,PG,10.49,2.98,3.24,32.5,40.5,2024,Charlotte Hornets,Colorado,2,12,42
Tyler Smith,PF,10.74,2.99,3.28,32.0,38.0,2024,Milwaukee Bucks,Ignite (G League),2,3,33
Cam Spencer,SG,11.07,3.00,3.35,23.0,30.5,2024,Detroit Pistons,Connecticut,2,23,53
Nae'Qwan Tomlin,PF,11.63,3.54,3.43,27.5,32.5,2024,,,,,
Nikola Topic,PG,-,-,-,-,-,2024,,,,,
JT Toppin,PF,11.12,3.01,3.27,28.5,34.0,2024,,,,,
Jaylon Tyson,SF,11.13,3.06,3.12,29.5,36.5,2024,Cleveland Cavaliers,California,1,20,20
